동별,연령별,시점,남자,여자
가회동,95~99세,2022. 3/4,0,0
가회동,95~99세,2023. 3/4,0,0
가회동,100세 이상,2020. 3/4,0,0
가회동,100세 이상,2022. 3/4,0,0
가회동,100세 이상,2023. 3/4,0,0
종로1.2.3.4가동,0~4세,2020. 3/4,17,12
종로1.2.3.4가동,0~4세,2022. 3/4,36,31
종로1.2.3.4가동,0~4세,2023. 3/4,47,39
종로1.2.3.4가동,5~9세,2020. 3/4,22,22
종로1.2.3.4가동,5~9세,2022. 3/4,52,58
종로1.2.3.4가동,5~9세,2023. 3/4,61,68
종로1.2.3.4가동,10~14세,2020. 3/4,13,14
종로1.2.3.4가동,10~14세,2022. 3/4,53,56
종로1.2.3.4가동,10~14세,2023. 3/4,63,65
종로1.2.3.4가동,15~19세,2020. 3/4,17,35
종로1.2.3.4가동,15~19세,2022. 3/4,33,55
종로1.2.3.4가동,15~19세,2023. 3/4,43,90
종로1.2.3.4가동,20~24세,2020. 3/4,29,100
종로1.2.3.4가동,20~24세,2022. 3/4,41,146
종로1.2.3.4가동,20~24세,2023. 3/4,36,155
종로1.2.3.4가동,25~29세,2020. 3/4,47,64
종로1.2.3.4가동,25~29세,2022. 3/4,49,64
종로1.2.3.4가동,25~29세,2023. 3/4,50,83
종로1.2.3.4가동,30~34세,2020. 3/4,69,66
종로1.2.3.4가동,30~34세,2022. 3/4,61,76
종로1.2.3.4가동,30~34세,2023. 3/4,64,65
종로1.2.3.4가동,35~39세,2020. 3/4,74,49
종로1.2.3.4가동,35~39세,2022. 3/4,101,97
종로1.2.3.4가동,35~39세,2023. 3/4,101,105
종로1.2.3.4가동,40~44세,2020. 3/4,88,64
종로1.2.3.4가동,40~44세,2022. 3/4,114,92
종로1.2.3.4가동,40~44세,2023. 3/4,126,118
종로1.2.3.4가동,45~49세,2020. 3/4,84,55
종로1.2.3.4가동,45~49세,2022. 3/4,113,87
종로1.2.3.4가동,45~49세,2023. 3/4,107,81
종로1.2.3.4가동,50~54세,2020. 3/4,63,35
종로1.2.3.4가동,50~54세,2022. 3/4,78,62
종로1.2.3.4가동,50~54세,2023. 3/4,81,59
종로1.2.3.4가동,55~59세,2020. 3/4,54,31
종로1.2.3.4가동,55~59세,2022. 3/4,66,36
종로1.2.3.4가동,55~59세,2023. 3/4,65,33
종로1.2.3.4가동,60~64세,2020. 3/4,26,24
종로1.2.3.4가동,60~64세,2022. 3/4,30,36
종로1.2.3.4가동,60~64세,2023. 3/4,35,27
종로1.2.3.4가동,65~69세,2020. 3/4,14,8
종로1.2.3.4가동,65~69세,2022. 3/4,18,9
종로1.2.3.4가동,65~69세,2023. 3/4,16,13
종로1.2.3.4가동,70~74세,2020. 3/4,5,4
